episode,length,total_reward,avg_q,exploration
0,16,-8.0,0.046844788,1.0
1,25,-7.0,-0.018479649,0.9950248756218907
2,10,-8.0,-0.040692005,0.990074503106359
3,27,-1.0,-0.08972379,0.98514875930981
4,10,-4.0,-0.09492129,0.9802475217013037
5,26,8.0,-0.09857032,0.9753706683595063
6,15,-13.0,-0.09271477,0.970518077969658
7,40,-20.0,-0.100213766,0.9656896298205554
8,15,-5.0,-0.11812363,0.9608852038015477
9,36,-12.0,-0.14941046,0.9561046803995501
10,8,-6.0,-0.1586101,0.9513479406960699
11,34,-24.0,-0.2036655,0.9466148663642487
12,24,-10.0,-0.19722578,0.9419053396659193
13,9,-7.0,-0.20069237,0.937219243448676
14,36,-10.0,-0.17839028,0.9325564611429613
15,57,-39.0,-0.16293308,0.9279168767591656
16,30,-24.0,-0.18292126,0.9233003748847419
17,14,-6.0,-0.2150073,0.9187068406813353
18,33,-11.0,-0.20172434,0.9141361598819259
19,27,-11.0,-0.1682767,0.909588218787986
20,43,-1.0,-0.12898152,0.9050629042666528
21,18,-16.0,-0.12034215,0.9005601037479133
22,60,-32.0,-0.105609104,0.8960797052218044
23,16,-6.0,-0.09882125,0.8916215972356263
24,36,-20.0,-0.12327812,0.8871856688911706
25,17,-7.0,-0.11693863,0.8827718098419609
26,43,-35.0,-0.14410704,0.8783799102905084
27,14,-12.0,-0.15264077,0.8740098609855806
28,41,-25.0,-0.20490794,0.8696615532194834
29,18,-2.0,-0.15905471,0.8653348788253566
30,33,1.0,-0.12568536,0.8610297301744844
31,77,27.0,-0.15197293,0.8567460001736164
32,66,24.0,-0.14052348,0.8524835822623049
33,17,-9.0,-0.12103411,0.8482423704102537
34,23,-9.0,-0.33720025,0.8440222591146804
35,19,-11.0,-0.71476907,0.839823143397692
36,16,-6.0,-0.8712675,0.8356449188036738
37,16,-8.0,-0.8553573,0.8314874813966904
38,24,-12.0,-0.7776759,0.827350727757901
39,20,2.0,-0.7258833,0.8232345549829861
40,14,-6.0,-0.7604998,0.8191388606795883
41,23,-7.0,-0.81405556,0.8150635429647646
42,41,-19.0,-0.5847987,0.8110085004624524
43,63,31.0,-0.56274724,0.8069736323009478
44,23,-1.0,-0.541839,0.8029588381103959
45,22,4.0,-0.55193746,0.7989640180202945
46,17,-9.0,-0.47132534,0.7949890726570096
47,15,-9.0,-0.4252878,0.7910339031413032
48,64,-6.0,-0.49140128,0.7870984110858739
49,57,-21.0,-0.48123986,0.7831824985929094
50,19,-7.0,-0.43311247,0.7792860682516513
51,11,-5.0,-0.5207032,0.7754090231359715
52,33,9.0,-0.60456645,0.7715512668019617
53,30,12.0,-0.54849917,0.7677127032855341
