episode,length,total_reward,avg_q,exploration
0,200,-200.0,-0.5776938,1.0
1,200,-200.0,-0.84375703,0.9950248756218907
2,200,-200.0,-0.8439382,0.990074503106359
3,200,-200.0,-0.83845556,0.98514875930981
4,200,-200.0,-0.85066164,0.9802475217013037
5,200,-200.0,-1.8396578,0.9753706683595063
6,200,-200.0,-1.8285677,0.970518077969658
7,200,-200.0,-1.8274803,0.9656896298205554
8,200,-200.0,-1.8179872,0.9608852038015477
9,200,-200.0,-1.82547,0.9561046803995501
10,200,-200.0,-2.7711532,0.9513479406960699
11,200,-200.0,-2.7967248,0.9466148663642487
12,200,-200.0,-2.8089943,0.9419053396659193
13,200,-200.0,-2.7969308,0.937219243448676
14,200,-200.0,-2.7872949,0.9325564611429613
15,200,-200.0,-3.7127304,0.9279168767591656
16,200,-200.0,-3.7532368,0.9233003748847419
17,200,-200.0,-3.753666,0.9187068406813353
18,200,-200.0,-3.7658806,0.9141361598819259
19,200,-200.0,-3.7652383,0.909588218787986
20,200,-200.0,-4.736575,0.9050629042666528
21,200,-200.0,-4.7360945,0.9005601037479133
22,200,-200.0,-4.730194,0.8960797052218044
23,200,-200.0,-4.722411,0.8916215972356263
24,200,-200.0,-4.736659,0.8871856688911706
25,200,-200.0,-5.705823,0.8827718098419609
26,200,-200.0,-5.693105,0.8783799102905084
27,200,-200.0,-5.704076,0.8740098609855806
28,200,-200.0,-5.692977,0.8696615532194834
29,200,-200.0,-5.7085876,0.8653348788253566
30,200,-200.0,-6.679026,0.8610297301744844
31,200,-200.0,-6.6774645,0.8567460001736164
32,200,-200.0,-6.6736746,0.8524835822623049
33,200,-200.0,-6.6699476,0.8482423704102537
34,200,-200.0,-6.6703925,0.8440222591146804
35,200,-200.0,-7.596434,0.839823143397692
36,200,-200.0,-7.6189437,0.8356449188036738
37,200,-200.0,-7.6126432,0.8314874813966904
38,200,-200.0,-7.637948,0.827350727757901
39,200,-200.0,-7.622302,0.8232345549829861
40,200,-200.0,-8.491922,0.8191388606795883
41,200,-200.0,-8.564661,0.8150635429647646
42,200,-200.0,-8.566513,0.8110085004624524
43,200,-200.0,-8.559972,0.8069736323009478
44,200,-200.0,-8.584483,0.8029588381103959
45,200,-200.0,-9.479223,0.7989640180202945
46,200,-200.0,-9.517107,0.7949890726570096
47,200,-200.0,-9.529454,0.7910339031413032
48,200,-200.0,-9.523959,0.7870984110858739
49,200,-200.0,-9.523401,0.7831824985929094
50,200,-200.0,-10.435869,0.7792860682516513
51,200,-200.0,-10.44709,0.7754090231359715
52,200,-200.0,-10.456994,0.7715512668019617
53,200,-200.0,-10.451047,0.7677127032855341
54,200,-200.0,-10.459311,0.763893237100034
55,200,-200.0,-11.365343,0.7600927732338647
56,200,-200.0,-11.367041,0.7563112171481242
57,200,-200.0,-11.369818,0.752548474774253
58,200,-200.0,-11.384729,0.7488044525116946
59,200,-200.0,-11.3931675,0.7450790572255668
60,200,-200.0,-12.289439,0.7413721962443451
61,200,-200.0,-12.298603,0.7376837773575574
62,200,-200.0,-12.276861,0.73401370881349
63,200,-200.0,-12.295898,0.7303618993169055
64,200,-200.0,-12.31207,0.7267282580267718
65,200,-200.0,-13.225804,0.7231126945540018
66,200,-200.0,-13.208649,0.719515118959206
67,200,-200.0,-13.196574,0.7159354417504538
68,200,-200.0,-13.188238,0.7123735738810486
69,200,-200.0,-13.225451,0.7088294267473121
70,200,-200.0,-14.117868,0.7053029121863803
71,200,-200.0,-14.097284,0.7017939424740103
72,200,-200.0,-14.095505,0.6983024303223984
73,200,-200.0,-14.121251,0.6948282888780084
74,200,-200.0,-14.1238985,0.6913714317194114
75,200,-200.0,-15.014949,0.6879317728551358
76,200,-200.0,-14.998154,0.6845092267215283
77,200,-200.0,-14.993756,0.6811037081806252
78,200,-200.0,-14.987345,0.6777151325180351
79,200,-200.0,-14.998251,0.674343415440831
80,200,-200.0,-15.853335,0.6709884730754538
81,200,-200.0,-15.858038,0.6676502219656257
82,200,-200.0,-15.854213,0.6643285790702744
83,200,-200.0,-15.866849,0.6610234617614672
84,200,-200.0,-15.844157,0.6577347878223555
85,200,-200.0,-16.697414,0.6544624754451299
86,200,-200.0,-16.684233,0.651206443228985
87,200,-200.0,-16.708073,0.6479666101780946
88,200,-200.0,-16.692146,0.6447428956995968
89,200,-200.0,-16.690924,0.6415352196015889
90,200,-200.0,-17.513176,0.6383435020911333
91,200,-200.0,-17.500217,0.6351676637722721
92,200,-200.0,-17.523365,0.6320076256440519
93,200,-200.0,-17.520641,0.6288633090985591
94,200,-200.0,-17.530994,0.6257346359189644
95,200,-200.0,-18.339567,0.6226215282775766
96,200,-200.0,-18.360798,0.6195239087339071
97,200,-200.0,-18.364626,0.6164417002327434
98,200,-200.0,-18.35076,0.6133748261022323
99,200,-200.0,-18.347677,0.6103232100519724
100,200,-200.0,-19.13302,0.6072867761711169
101,200,-200.0,-19.169333,0.6042654489264846
102,200,-200.0,-19.152338,0.6012591531606812
103,200,-200.0,-19.173986,0.5982678140902301
104,200,-200.0,-19.149834,0.5952913573037116
105,200,-200.0,-19.919374,0.5923297087599121
106,200,-200.0,-19.939825,0.5893827947859822
107,200,-200.0,-19.920246,0.5864505420756042
108,200,-200.0,-19.94875,0.5835328776871684
109,200,-200.0,-19.935345,0.5806297290419588
110,200,-200.0,-20.711576,0.577741023922347
111,200,-200.0,-20.727758,0.5748666904699972
112,200,-200.0,-20.722559,0.5720066571840768
113,200,-200.0,-20.701883,0.5691608529194795
114,200,-200.0,-20.71379,0.5663292068850543
115,200,-200.0,-21.49881,0.5635116486418451
116,200,-200.0,-21.477402,0.5607081081013385
117,200,-200.0,-21.48849,0.55791851552372
118,200,-200.0,-21.468683,0.5551428015161394
119,200,-200.0,-21.466501,0.5523808970309845
120,200,-200.0,-22.234097,0.5496327333641637
121,200,-200.0,-22.255041,0.5468982421533968
122,200,-200.0,-22.227274,0.5441773553765142
123,200,-200.0,-22.227594,0.5414700053497654
124,200,-200.0,-22.245121,0.5387761247261348
125,200,-200.0,-23.019846,0.5360956464936665
126,200,-200.0,-22.997242,0.5334285039737976
127,200,-200.0,-22.996521,0.5307746308196991
128,200,-200.0,-22.979408,0.5281339610146261
129,200,-200.0,-22.984694,0.5255064288702748
130,200,-200.0,-23.753422,0.5228919690251491
131,200,-200.0,-23.70702,0.5202905164429344
132,200,-200.0,-23.711302,0.5177020064108802
133,200,-200.0,-23.70595,0.5151263745381892
134,200,-200.0,-23.714817,0.5125635567544172
135,200,-200.0,-24.46442,0.5100134893078779
136,200,-200.0,-24.432074,0.5074761087640577
137,200,-200.0,-24.403446,0.5049513520040375
138,200,-200.0,-24.41973,0.5024391562229229
139,200,-200.0,-24.420153,0.49993945892828157
140,200,-200.0,-25.160473,0.4974521979385887
141,200,-200.0,-25.141735,0.49497731138168033
142,200,-200.0,-25.121792,0.4925147376932143
143,200,-200.0,-25.11494,0.49006441561513864
144,200,-200.0,-25.135822,0.48762628419416787
145,200,-200.0,-25.865824,0.4852002827802666
146,200,-200.0,-25.823795,0.48278635102514095
147,200,-200.0,-25.824823,0.4803844288807373
148,200,-200.0,-25.789999,0.4779944565977486
149,200,-200.0,-25.800915,0.475616374724128
150,200,-200.0,-26.533167,0.47325012410361
151,200,-200.0,-26.498257,0.4708956458742389
152,200,-200.0,-26.492188,0.4685528814669044
153,200,-200.0,-26.479055,0.46622177260388503
154,200,-200.0,-26.476786,0.4639022612973981
155,200,-200.0,-27.137897,0.46159428984815737
156,200,-200.0,-27.132502,0.45929780084393773
157,200,-200.0,-27.157742,0.45701273715814705
158,200,-200.0,-27.143366,0.4547390419484051
159,200,-200.0,-27.142727,0.4524766586551295
160,200,-200.0,-27.805399,0.4502255310001289
161,200,-200.0,-27.799204,0.44798560298520296
162,200,-200.0,-27.784052,0.44575681889074925
163,200,-200.0,-27.788593,0.4435391232743774
164,200,-200.0,-27.80152,0.44133246096952977
165,200,-200.0,-28.434443,0.43913677708410925
166,200,-200.0,-28.44151,0.43695201699911373
167,200,-200.0,-28.453516,0.4347781263672774
168,200,-200.0,-28.451313,0.4326150511117189
169,200,-200.0,-28.428509,0.43046273742459595
170,200,-200.0,-29.06536,0.42832113176576714
171,200,-200.0,-29.067982,0.4261901808614599
172,200,-200.0,-29.077774,0.4240698317029452
173,200,-200.0,-29.052097,0.42196003154521916
174,200,-200.0,-29.056244,0.41986072790569073
175,200,-200.0,-29.692987,0.4177718685628764
176,200,-200.0,-29.674774,0.4156934015551009
177,200,-200.0,-29.673492,0.41362527517920494
178,200,-200.0,-29.664196,0.4115674379892587
179,200,-200.0,-29.661127,0.40951983879528236
180,200,-200.0,-30.275562,0.40748242666197254
181,200,-200.0,-30.283184,0.4054551509074354
182,200,-200.0,-30.271246,0.4034379611019258
183,200,-200.0,-30.27147,0.4014308070665929
184,200,-200.0,-30.296549,0.39943363887223177
185,200,-200.0,-30.903687,0.3974464068380416
186,200,-200.0,-30.917416,0.3954690615303897
187,200,-200.0,-30.906322,0.3935015537615818
188,200,-200.0,-30.873516,0.3915438345886387
189,200,-200.0,-30.894516,0.3895958553120783
190,200,-200.0,-31.502466,0.3876575674747048
191,200,-200.0,-31.513391,0.38572892286040283
192,200,-200.0,-31.476196,0.38380987349293816
193,200,-200.0,-31.481018,0.38190037163476437
194,200,-200.0,-31.487686,0.38000036978583523
195,200,-200.0,-32.10518,0.37810982068242316
196,200,-200.0,-32.06788,0.3762286772959435
197,200,-200.0,-32.079735,0.37435689283178464
198,200,-200.0,-32.059734,0.372494420728144
199,200,-200.0,-32.071983,0.37064121465486966
200,200,-200.0,-32.6885,0.3687972285123082
201,200,-200.0,-32.664173,0.3669624164301574
202,200,-200.0,-32.64097,0.36513673276632586
203,200,-200.0,-32.667625,0.3633201321057969
204,200,-200.0,-32.67476,0.36151256925949943
205,200,-200.0,-33.310974,0.35971399926318354
206,200,-200.0,-33.278748,0.35792437737630206
207,200,-200.0,-33.230682,0.3561436590808976
208,200,-200.0,-33.24491,0.3543718000804952
209,200,-200.0,-33.26288,0.35260875629900024
210,200,-200.0,-33.86943,0.3508544838796023
211,200,-200.0,-33.836693,0.3491089391836839
212,200,-200.0,-33.84207,0.34737207878973525
213,200,-200.0,-33.809704,0.34564385949227394
214,200,-200.0,-33.833847,0.3439242383007701
215,200,-200.0,-34.44436,0.3422131724385773
216,200,-200.0,-34.411777,0.340510619341868
217,200,-200.0,-34.403637,0.33881653665857514
218,200,-200.0,-34.388813,0.3371308822473385
219,200,-200.0,-34.395912,0.33545361417645625
220,200,-200.0,-35.00169,0.33378469072284206
221,200,-200.0,-34.96515,0.3321240703709872
222,200,-200.0,-34.976295,0.3304717118119276
223,200,-200.0,-34.956516,0.3288275739422165
224,200,-200.0,-34.942905,0.327191615862902
225,200,-200.0,-35.549213,0.3255637968785095
226,200,-200.0,-35.50706,0.3239440764960294
227,200,-200.0,-35.51025,0.3223324144239099
228,200,-200.0,-35.5152,0.3207287705710547
229,200,-200.0,-35.5112,0.3191331050458256
230,200,-200.0,-36.10916,0.31754537815505035
231,200,-200.0,-36.082832,0.3159655504030352
232,200,-200.0,-36.075237,0.3143935824905823
233,200,-200.0,-36.07313,0.31282943531401225
234,200,-200.0,-36.046837,0.31127306996419135
235,200,-200.0,-36.649178,0.30972444772556357
236,200,-200.0,-36.606342,0.3081835300751877
237,200,-200.0,-36.602333,0.3066502786817788
238,200,-200.0,-36.61079,0.30512465540475503
239,200,-200.0,-36.60326,0.3036066222932886
240,200,-200.0,-37.214344,0.30209614158536185
241,156,-156.0,-37.143456,0.30059317570682775
242,200,-200.0,-37.168335,0.2990976872704754
243,200,-200.0,-37.14115,0.29760963907509996
244,200,-200.0,-37.18144,0.2961289941045771
245,200,-200.0,-37.77948,0.2946557155269424
246,200,-200.0,-37.72087,0.2931897666934751
247,200,-200.0,-37.71245,0.29173111113778616
248,200,-200.0,-37.69655,0.29027971257491164
249,200,-200.0,-37.71355,0.28883553490040964
250,200,-200.0,-38.313343,0.28739854218946237
251,200,-200.0,-38.262825,0.2859686986959825
252,200,-200.0,-38.281746,0.28454596885172395
253,200,-200.0,-38.272606,0.283130317265397
254,200,-200.0,-38.25669,0.2817217087217881
255,200,-200.0,-38.850945,0.2803201081808837
256,200,-200.0,-38.817867,0.27892548077699875
257,200,-200.0,-38.790936,0.2775377918179092
258,200,-200.0,-38.798885,0.2761570067839893
259,200,-200.0,-38.75952,0.27478309132735257
260,200,-200.0,-39.37664,0.2734160112709976
261,200,-200.0,-39.318,0.27205573260795785
262,200,-200.0,-39.29951,0.2707022215004556
263,200,-200.0,-39.32574,0.26935544427906033
264,200,-200.0,-39.331696,0.2680153674418511
265,200,-200.0,-39.895935,0.2666819576535832
266,200,-200.0,-39.866394,0.26535518174485895
267,200,-200.0,-39.849335,0.2640350067113025
268,200,-200.0,-39.861244,0.26272139971273883
269,200,-200.0,-39.86126,0.26141432807237697
270,200,-200.0,-40.421894,0.260113759275997
271,200,-200.0,-40.380665,0.25881966097114134
272,200,-200.0,-40.362568,0.2575320009663098
273,200,-200.0,-40.37264,0.256250747230159
274,200,-200.0,-40.39449,0.2549758678907055
275,200,-200.0,-40.9285,0.2537073312345328
276,200,-200.0,-40.93022,0.2524451057060028
277,200,-200.0,-40.92097,0.2511891599064705
278,200,-200.0,-40.94923,0.24993946259350303
279,200,-200.0,-40.924854,0.24869598268010254
280,200,-200.0,-41.43621,0.2474586892339329
281,200,-200.0,-41.4329,0.24622755147655018
282,200,-200.0,-41.434834,0.24500253878263703
283,200,-200.0,-41.353462,0.24378362067924086
284,200,-200.0,-41.424973,0.2425707668450158
285,200,-200.0,-41.949425,0.24136394710946849
286,200,-200.0,-41.951447,0.24016313145220747
287,200,-200.0,-41.97135,0.23896829000219652
288,200,-200.0,-41.9139,0.23777939303701148
289,200,-200.0,-41.935253,0.236596410982101
290,200,-200.0,-42.424156,0.23541931441005076
291,200,-200.0,-42.43423,0.23424807403985154
292,200,-200.0,-42.455463,0.2330826607361707
293,200,-200.0,-42.44191,0.23192304550862758
294,200,-200.0,-42.40651,0.23076919951107225
295,200,-200.0,-42.89692,0.22962109404086795
296,200,-200.0,-42.951088,0.2284787005381771
297,200,-200.0,-42.917118,0.22734199058525087
298,200,-200.0,-42.946644,0.22621093590572228
299,200,-200.0,-42.928917,0.2250855083639028
300,200,-200.0,-43.361786,0.2239656799640824
301,200,-200.0,-43.411015,0.22285142284983325
302,200,-200.0,-43.4094,0.2217427093033167
303,200,-200.0,-43.39501,0.22063951174459373
304,200,-200.0,-43.422424,0.21954180273093907
305,200,-200.0,-43.856884,0.2184495549561583
306,200,-200.0,-43.883926,0.2173627412499088
307,200,-200.0,-43.880756,0.2162813345770237
